Duration in months,Credit history,Purpose,Credit amount,Present employment since,Installment Rate,Gender,Marital Status,Present resident since,Property,Age,Housing,Employment,Credit Risk
18,Existing credits paid back duly,Car,5866,< 4 year,2,Male,Single,2,Car or other property,30,Own,Skilled,1
12,No credits existing,Business,1264,>= 7 year,4,Male,Single,4,No property,57,Rent,Unskilled resident,1
12,Existing credits paid back duly,Furniture,1474,< 1 year,4,Female,Unknown,1,Life Insurance,33,Own,Self-employed,1
45,No credits existing,Radio/Television,4746,< 1 year,4,Male,Single,2,Life Insurance,25,Own,Unskilled resident,0
48,No credits existing,Education,6110,< 4 year,1,Male,Single,3,No property,31,Free,Skilled,1
18,Existing credits paid back duly,Radio/Television,2100,< 4 year,4,Male,Single,2,Real estate,37,Own,Skilled,0
10,Existing credits paid back duly,Domestic Appliances,1225,< 4 year,2,Male,Single,2,Car or other property,37,Own,Skilled,1
9,Existing credits paid back duly,Radio/Television,458,< 4 year,4,Male,Single,3,Real estate,24,Own,Skilled,1
30,Existing credits paid back duly,Radio/Television,2333,>= 7 year,4,Male,Single,2,Car or other property,30,Own,Self-employed,1
12,Existing credits paid back duly,Radio/Television,1158,< 4 year,3,Male,Divorced,1,Car or other property,26,Own,Skilled,1
18,Delay in paying off,Repairs,6204,< 4 year,2,Male,Single,4,Real estate,44,Own,Unskilled resident,1
30,No credits existing,Car,6187,< 7 year,1,Male,Married,4,Car or other property,24,Rent,Skilled,1
48,No credits existing,Car,6143,>= 7 year,4,Female,Unknown,4,No property,58,Free,Unskilled resident,0
11,No credits existing,Car,1393,< 1 year,4,Female,Unknown,4,Car or other property,35,Own,Self-employed,1
36,Existing credits paid back duly,Radio/Television,2299,>= 7 year,4,Male,Single,4,Car or other property,39,Own,Skilled,1
6,Existing credits paid back duly,Car,1352,Unemployed,1,Female,Unknown,2,Life Insurance,23,Rent,Unemployed,1
11,No credits existing,Car,7228,< 4 year,1,Male,Single,4,Life Insurance,39,Own,Unskilled resident,1
12,Existing credits paid back duly,Radio/Television,2073,< 4 year,4,Female,Unknown,2,Real estate,28,Own,Skilled,1
24,Delay in paying off,Furniture,2333,< 1 year,4,Male,Single,2,Life Insurance,29,Own,Unskilled resident,1
27,Delay in paying off,Car,5965,>= 7 year,1,Male,Single,2,Car or other property,30,Own,Self-employed,1
12,Existing credits paid back duly,Radio/Television,1262,< 4 year,3,Male,Single,2,Car or other property,25,Own,Skilled,1
18,Existing credits paid back duly,Car,3378,< 4 year,2,Male,Single,1,Life Insurance,31,Own,Skilled,1
36,Delay in paying off,Car,2225,>= 7 year,4,Male,Single,4,No property,57,Free,Skilled,0
6,Credits paid back duly,Car,783,< 4 year,1,Male,Single,2,Real estate,26,Own,Unskilled resident,1
12,Existing credits paid back duly,Radio/Television,6468,Unemployed,2,Male,Single,1,No property,52,Own,Self-employed,0
36,No credits existing,Radio/Television,9566,< 4 year,2,Female,Unknown,2,Car or other property,31,Own,Skilled,1
18,Existing credits paid back duly,Car,1961,>= 7 year,3,Female,Unknown,2,Car or other property,23,Own,Self-employed,1
36,No credits existing,Furniture,6229,< 1 year,4,Female,Unknown,4,No property,23,Rent,Unskilled resident,0
9,Existing credits paid back duly,Business,1391,< 4 year,2,Male,Married,1,Real estate,27,Own,Skilled,1
15,No credits existing,Radio/Television,1537,>= 7 year,4,Male,Single,4,Real estate,50,Own,Skilled,1
36,No credits taken,Business,1953,>= 7 year,4,Male,Single,4,No property,61,Free,Self-employed,0
48,No credits taken,Business,14421,< 4 year,2,Male,Single,2,Car or other property,25,Own,Skilled,0
24,Existing credits paid back duly,Radio/Television,3181,< 1 year,4,Female,Unknown,4,Life Insurance,26,Own,Skilled,1
27,Existing credits paid back duly,Repairs,5190,>= 7 year,4,Male,Single,4,Life Insurance,48,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,2171,< 1 year,2,Female,Unknown,2,Car or other property,29,Own,Skilled,1
12,Existing credits paid back duly,Car,1007,< 4 year,4,Male,Married,1,Real estate,22,Own,Skilled,1
36,Existing credits paid back duly,Education,1819,< 4 year,4,Male,Single,4,No property,37,Free,Skilled,0
36,Existing credits paid back duly,Radio/Television,2394,< 4 year,4,Female,Unknown,4,Car or other property,25,Own,Skilled,1
36,Existing credits paid back duly,Car,8133,< 4 year,1,Female,Unknown,2,Life Insurance,30,Own,Skilled,1
7,No credits existing,Radio/Television,730,>= 7 year,4,Male,Single,2,Life Insurance,46,Rent,Unskilled resident,1
8,No credits existing,Car0,1164,>= 7 year,3,Male,Single,4,No property,51,Free,Self-employed,1
42,No credits existing,Business,5954,< 7 year,2,Female,Unknown,1,Real estate,41,Own,Unskilled resident,1
36,Existing credits paid back duly,Education,1977,>= 7 year,4,Male,Single,4,No property,40,Own,Self-employed,0
12,No credits existing,Car,1526,>= 7 year,4,Male,Single,4,No property,66,Free,Self-employed,1
42,Existing credits paid back duly,Radio/Television,3965,< 1 year,4,Male,Single,3,Car or other property,34,Own,Skilled,0
11,Delay in paying off,Radio/Television,4771,< 7 year,2,Male,Single,4,Life Insurance,51,Own,Skilled,1
54,No credits taken,Car,9436,< 4 year,2,Male,Single,2,Life Insurance,39,Own,Unskilled resident,1
30,Existing credits paid back duly,Furniture,3832,< 1 year,2,Male,Married,1,Life Insurance,22,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,5943,< 1 year,1,Female,Unknown,1,Car or other property,44,Own,Skilled,0
15,Existing credits paid back duly,Radio/Television,1213,>= 7 year,4,Male,Single,3,Life Insurance,47,Own,Skilled,1
18,Existing credits paid back duly,Business,1568,< 4 year,3,Female,Unknown,4,Life Insurance,24,Rent,Unskilled resident,1
24,Existing credits paid back duly,Car0,1755,>= 7 year,4,Female,Unknown,4,Real estate,58,Own,Unskilled resident,1
10,Existing credits paid back duly,Radio/Television,2315,>= 7 year,3,Male,Single,4,Real estate,52,Own,Unskilled resident,1
12,No credits existing,Business,1412,< 4 year,4,Female,Unknown,2,Real estate,29,Own,Self-employed,1
18,No credits existing,Furniture,1295,< 1 year,4,Female,Unknown,1,Life Insurance,27,Own,Skilled,1
36,Existing credits paid back duly,Education,12612,< 4 year,1,Male,Single,4,No property,47,Free,Skilled,0
18,Existing credits paid back duly,Car,2249,< 7 year,4,Male,Single,3,Car or other property,30,Own,Self-employed,1
12,No credits taken,Repairs,1108,< 7 year,4,Male,Single,3,Real estate,28,Own,Skilled,0
12,No credits existing,Radio/Television,618,>= 7 year,4,Male,Single,4,Real estate,56,Own,Skilled,1
12,No credits existing,Car,1409,>= 7 year,4,Male,Single,3,Real estate,54,Own,Skilled,1
12,No credits existing,Radio/Television,797,>= 7 year,4,Female,Unknown,3,Life Insurance,33,Own,Unskilled resident,0
24,No credits existing,Furniture,3617,>= 7 year,4,Male,Single,4,No property,20,Rent,Skilled,1
12,Existing credits paid back duly,Car,1318,>= 7 year,4,Male,Single,4,Real estate,54,Own,Skilled,1
54,No credits taken,Business,15945,< 1 year,3,Male,Single,4,No property,58,Rent,Skilled,0
12,No credits existing,Education,2012,< 7 year,4,Female,Unknown,2,Car or other property,61,Own,Skilled,1
18,Existing credits paid back duly,Business,2622,< 4 year,4,Male,Single,4,Car or other property,34,Own,Skilled,1
36,No credits existing,Radio/Television,2337,>= 7 year,4,Male,Single,4,Real estate,36,Own,Skilled,1
20,Delay in paying off,Car,7057,< 7 year,3,Male,Single,4,Life Insurance,36,Rent,Self-employed,1
24,Existing credits paid back duly,Car,1469,>= 7 year,4,Male,Married,4,Real estate,41,Rent,Unskilled resident,1
36,Existing credits paid back duly,Radio/Television,2323,< 7 year,4,Male,Single,4,Car or other property,24,Rent,Skilled,1
6,Delay in paying off,Radio/Television,932,< 4 year,3,Female,Unknown,2,Real estate,24,Own,Skilled,1
9,No credits existing,Furniture,1919,< 7 year,4,Male,Single,3,Car or other property,35,Rent,Skilled,1
12,Existing credits paid back duly,Car,2445,< 1 year,2,Male,Married,4,Car or other property,26,Rent,Skilled,1
24,No credits existing,Car0,11938,< 4 year,2,Male,Single,3,Car or other property,39,Own,Self-employed,0
18,Credits paid back duly,Car,6458,>= 7 year,2,Male,Single,4,No property,39,Own,Self-employed,0
12,Existing credits paid back duly,Car,6078,< 7 year,2,Male,Single,2,Car or other property,32,Own,Skilled,1
24,Existing credits paid back duly,Furniture,7721,< 1 year,1,Female,Unknown,2,Life Insurance,30,Own,Skilled,1
14,Existing credits paid back duly,Business,1410,>= 7 year,1,Male,Married,2,Real estate,35,Own,Skilled,1
6,Delay in paying off,Business,1449,>= 7 year,1,Male,Divorced,2,Car or other property,31,Own,Skilled,1
15,Existing credits paid back duly,Education,392,< 1 year,4,Female,Unknown,4,Life Insurance,23,Rent,Skilled,1
18,Existing credits paid back duly,Car,6260,< 7 year,3,Male,Single,3,Real estate,28,Rent,Unskilled resident,1
36,No credits existing,Car,7855,< 4 year,4,Female,Unknown,2,Real estate,25,Own,Skilled,0
12,Existing credits paid back duly,Radio/Television,1680,>= 7 year,3,Male,Married,1,Real estate,35,Own,Skilled,1
48,No credits existing,Radio/Television,3578,>= 7 year,4,Male,Single,1,Real estate,47,Own,Skilled,1
42,Existing credits paid back duly,Radio/Television,7174,< 7 year,4,Female,Unknown,3,Car or other property,30,Own,Self-employed,0
10,No credits existing,Furniture,2132,< 1 year,2,Female,Unknown,3,Real estate,27,Rent,Skilled,1
33,No credits existing,Furniture,4281,< 4 year,1,Female,Unknown,4,Car or other property,23,Own,Skilled,0
12,No credits existing,Car,2366,< 7 year,3,Male,Divorced,3,Car or other property,36,Own,Self-employed,1
21,Existing credits paid back duly,Radio/Television,1835,< 4 year,3,Female,Unknown,2,Real estate,25,Own,Skilled,0
24,No credits existing,Car,3868,>= 7 year,4,Female,Unknown,2,Car or other property,41,Rent,Self-employed,1
12,Existing credits paid back duly,Furniture,1768,< 4 year,3,Male,Single,2,Real estate,24,Rent,Unskilled resident,1
10,No credits existing,Car,781,>= 7 year,4,Male,Single,4,No property,63,Free,Skilled,1
18,Existing credits paid back duly,Furniture,1924,< 1 year,4,Female,Unknown,3,Real estate,27,Rent,Skilled,0
12,No credits existing,Car,2121,< 4 year,4,Male,Single,2,Life Insurance,30,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,701,< 4 year,4,Male,Married,2,Real estate,40,Own,Unskilled resident,1
12,Existing credits paid back duly,Repairs,639,< 4 year,4,Male,Single,2,Car or other property,30,Own,Skilled,0
12,No credits existing,Car,1860,Unemployed,4,Male,Single,2,Car or other property,34,Own,Self-employed,1
12,No credits existing,Car,3499,< 4 year,3,Female,Unknown,2,Real estate,29,Own,Skilled,0
48,Existing credits paid back duly,Car,8487,< 7 year,1,Female,Unknown,2,Car or other property,24,Own,Skilled,1
36,Delay in paying off,Education,6887,< 4 year,4,Male,Single,3,Life Insurance,29,Own,Skilled,0
15,Existing credits paid back duly,Furniture,2708,< 1 year,2,Male,Single,3,Life Insurance,27,Own,Unskilled resident,1
18,Existing credits paid back duly,Furniture,1984,< 4 year,4,Male,Single,4,No property,47,Free,Skilled,1
60,Existing credits paid back duly,Radio/Television,10144,< 7 year,2,Female,Unknown,4,Real estate,21,Own,Skilled,1
12,No credits existing,Radio/Television,1240,>= 7 year,4,Female,Unknown,2,Real estate,38,Own,Skilled,1
27,Delay in paying off,Car,8613,< 4 year,2,Male,Single,2,Car or other property,27,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,766,< 4 year,4,Male,Single,3,Real estate,66,Own,Unskilled resident,0
15,No credits existing,Radio/Television,2728,< 7 year,4,Male,Single,2,Real estate,35,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,1881,< 4 year,2,Female,Unknown,2,Car or other property,44,Rent,Unskilled resident,1
6,Existing credits paid back duly,Car,709,< 1 year,2,Male,Married,2,Real estate,27,Own,Unemployed,1
36,Existing credits paid back duly,Radio/Television,4795,< 1 year,4,Female,Unknown,1,No property,30,Own,Self-employed,1
27,Existing credits paid back duly,Radio/Television,3416,< 4 year,3,Male,Single,2,Car or other property,27,Own,Self-employed,1
18,Existing credits paid back duly,Furniture,2462,< 4 year,2,Male,Single,2,Car or other property,22,Own,Skilled,0
21,No credits existing,Furniture,2288,< 1 year,4,Female,Unknown,4,Life Insurance,23,Own,Skilled,1
48,Credits paid back duly,Business,3566,< 7 year,4,Male,Single,2,Car or other property,30,Own,Skilled,1
6,No credits existing,Car,860,>= 7 year,1,Female,Unknown,4,No property,39,Own,Skilled,1
12,No credits existing,Car,682,< 7 year,4,Female,Unknown,3,Car or other property,51,Own,Skilled,1
36,No credits existing,Furniture,5371,< 4 year,3,Male,Single,2,Life Insurance,28,Own,Skilled,1
18,No credits existing,Radio/Television,1582,>= 7 year,4,Male,Single,4,Car or other property,46,Own,Skilled,1
6,Existing credits paid back duly,Radio/Television,1346,>= 7 year,2,Male,Single,4,No property,42,Free,Skilled,1
10,Existing credits paid back duly,Radio/Television,1924,< 4 year,1,Male,Single,4,Life Insurance,38,Own,Skilled,1
36,Existing credits paid back duly,Radio/Television,5848,< 4 year,4,Male,Single,1,Car or other property,24,Own,Skilled,1
24,No credits existing,Car,7758,>= 7 year,2,Female,Unknown,4,No property,29,Rent,Skilled,1
24,Delay in paying off,Business,6967,< 7 year,4,Male,Single,4,Car or other property,36,Rent,Self-employed,1
12,Existing credits paid back duly,Furniture,1282,< 4 year,2,Female,Unknown,4,Car or other property,20,Rent,Skilled,0
9,No credits existing,Repairs,1288,>= 7 year,3,Male,Single,4,Real estate,48,Own,Skilled,1
12,Credits paid back duly,Retraining,339,>= 7 year,4,Male,Married,1,Car or other property,45,Own,Unskilled resident,1
24,Existing credits paid back duly,Car,3512,< 7 year,2,Male,Single,3,Car or other property,38,Own,Skilled,1
6,No credits existing,Radio/Television,1898,< 4 year,1,Male,Single,2,Real estate,34,Own,Unskilled resident,1
24,No credits existing,Radio/Television,2872,>= 7 year,3,Male,Single,4,Real estate,36,Own,Skilled,1
18,No credits existing,Car,1055,< 1 year,4,Female,Unknown,1,Life Insurance,30,Own,Skilled,1
15,Existing credits paid back duly,Domestic Appliances,1262,< 7 year,4,Male,Single,3,Life Insurance,36,Own,Skilled,1
10,Existing credits paid back duly,Car,7308,Unemployed,2,Male,Single,4,No property,70,Free,Self-employed,1
36,Existing credits paid back duly,Car,909,>= 7 year,4,Male,Single,4,Life Insurance,36,Own,Skilled,1
6,Existing credits paid back duly,Furniture,2978,< 4 year,1,Male,Single,2,Car or other property,32,Own,Skilled,1
18,Existing credits paid back duly,Furniture,1131,Unemployed,4,Female,Unknown,2,Car or other property,33,Own,Skilled,0
11,Existing credits paid back duly,Furniture,1577,< 1 year,4,Female,Unknown,1,Real estate,20,Own,Skilled,1
24,Existing credits paid back duly,Furniture,3972,< 7 year,2,Female,Unknown,4,Life Insurance,25,Rent,Skilled,1
24,No credits existing,Business,1935,>= 7 year,4,Male,Divorced,4,Real estate,31,Own,Skilled,0
15,No credits taken,Car,950,>= 7 year,4,Male,Single,3,Car or other property,33,Rent,Skilled,0
12,Existing credits paid back duly,Furniture,763,< 4 year,4,Female,Unknown,1,Real estate,26,Own,Skilled,1
24,Delay in paying off,Furniture,2064,Unemployed,3,Female,Unknown,2,Life Insurance,34,Own,Self-employed,0
8,Existing credits paid back duly,Radio/Television,1414,< 4 year,4,Male,Single,2,Real estate,33,Own,Skilled,1
21,Delay in paying off,Education,3414,< 1 year,2,Male,Single,1,Life Insurance,26,Own,Skilled,0
30,Credits paid back duly,Car,7485,Unemployed,4,Female,Unknown,1,Real estate,53,Own,Self-employed,0
12,Existing credits paid back duly,Furniture,2577,< 4 year,2,Male,Divorced,1,Car or other property,42,Own,Skilled,1
6,No credits existing,Radio/Television,338,>= 7 year,4,Male,Single,4,Car or other property,52,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,1963,< 7 year,4,Male,Single,2,Car or other property,31,Rent,Self-employed,1
21,No credits existing,Car,571,>= 7 year,4,Male,Single,4,Real estate,65,Own,Skilled,1
36,Delay in paying off,Business,9572,< 1 year,1,Male,Divorced,1,Car or other property,28,Own,Skilled,0
36,Delay in paying off,Business,4455,< 4 year,2,Male,Divorced,2,Real estate,30,Own,Self-employed,0
21,Credits paid back duly,Car,1647,< 4 year,4,Male,Single,2,Life Insurance,40,Own,Unskilled resident,0
24,No credits existing,Furniture,3777,< 4 year,4,Male,Single,4,Real estate,50,Own,Skilled,1
18,No credits existing,Car,884,>= 7 year,4,Male,Single,4,Car or other property,36,Own,Skilled,0
15,No credits existing,Radio/Television,1360,< 4 year,4,Male,Single,2,Life Insurance,31,Own,Skilled,1
9,Credits paid back duly,Car,5129,>= 7 year,2,Female,Unknown,4,No property,74,Free,Self-employed,0
16,No credits existing,Car,1175,Unemployed,2,Male,Single,3,Car or other property,68,Free,Unemployed,1
12,Existing credits paid back duly,Radio/Television,674,< 7 year,4,Male,Married,1,Life Insurance,20,Own,Skilled,0
18,No credits taken,Furniture,3244,< 4 year,1,Female,Unknown,4,Car or other property,33,Own,Skilled,1
24,Existing credits paid back duly,Business,4591,< 4 year,2,Male,Single,3,Life Insurance,54,Own,Self-employed,0
48,No credits taken,Business,3844,< 7 year,4,Male,Single,4,No property,34,Free,Unskilled resident,0
27,Existing credits paid back duly,Business,3915,< 4 year,4,Male,Single,2,Car or other property,36,Own,Skilled,0
6,Existing credits paid back duly,Radio/Television,2108,< 7 year,2,Male,Married,2,Real estate,29,Rent,Skilled,1
45,Existing credits paid back duly,Radio/Television,3031,< 4 year,4,Male,Single,4,Life Insurance,21,Rent,Skilled,0
9,No credits existing,Education,1501,>= 7 year,2,Female,Unknown,3,Car or other property,34,Own,Self-employed,0
6,No credits existing,Radio/Television,1382,< 4 year,1,Female,Unknown,1,Car or other property,28,Own,Skilled,1
12,Existing credits paid back duly,Furniture,951,< 1 year,4,Female,Unknown,4,Car or other property,27,Rent,Skilled,0
24,Existing credits paid back duly,Car,2760,>= 7 year,4,Male,Single,4,No property,36,Free,Skilled,1
18,Delay in paying off,Furniture,4297,>= 7 year,4,Male,Divorced,3,No property,40,Own,Self-employed,0
9,No credits existing,Education,936,>= 7 year,4,Male,Single,2,Car or other property,52,Own,Skilled,1
12,Existing credits paid back duly,Car,1168,< 4 year,4,Male,Married,3,Real estate,27,Own,Unskilled resident,1
27,Delay in paying off,Business,5117,< 7 year,3,Male,Single,4,Car or other property,26,Own,Skilled,1
12,Existing credits paid back duly,Retraining,902,< 7 year,4,Male,Married,4,Life Insurance,21,Rent,Skilled,0
12,No credits existing,Car,1495,>= 7 year,4,Male,Single,1,Real estate,38,Own,Unskilled resident,1
30,No credits existing,Car,10623,>= 7 year,3,Male,Single,4,No property,38,Free,Self-employed,1
12,No credits existing,Furniture,1935,>= 7 year,4,Male,Single,4,Real estate,43,Own,Skilled,1
12,No credits existing,Domestic Appliances,1424,< 7 year,4,Male,Single,3,Life Insurance,26,Own,Skilled,1
24,Existing credits paid back duly,Business,6568,< 4 year,2,Male,Married,2,Car or other property,21,Own,Unskilled resident,1
12,Existing credits paid back duly,Car,1413,< 7 year,3,Male,Single,2,Life Insurance,55,Own,Skilled,1
9,No credits existing,Radio/Television,3074,< 4 year,1,Male,Single,2,Real estate,33,Own,Skilled,1
36,Existing credits paid back duly,Radio/Television,3835,>= 7 year,2,Female,Unknown,4,Real estate,45,Own,Unskilled resident,1
27,No credits taken,Business,5293,Unemployed,2,Male,Single,4,Life Insurance,50,Own,Skilled,0
30,Delay in paying off,Business,1908,>= 7 year,4,Male,Single,4,Real estate,66,Own,Self-employed,0
36,No credits existing,Radio/Television,3342,>= 7 year,4,Male,Single,2,Car or other property,51,Own,Skilled,1
6,No credits existing,Retraining,932,< 7 year,1,Female,Unknown,3,Life Insurance,39,Own,Unskilled resident,1
18,No credits taken,Business,3104,< 7 year,3,Male,Single,1,Life Insurance,31,Own,Skilled,1
36,Existing credits paid back duly,Radio/Television,3913,< 4 year,2,Male,Single,2,Real estate,23,Own,Skilled,1
24,Existing credits paid back duly,Furniture,3021,< 4 year,2,Male,Divorced,2,Real estate,24,Rent,Unskilled resident,1
10,Existing credits paid back duly,Car,1364,< 4 year,2,Female,Unknown,4,Car or other property,64,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,625,< 1 year,4,Male,Married,1,Real estate,26,Own,Unskilled resident,1
12,Existing credits paid back duly,Education,1200,< 4 year,4,Female,Unknown,4,Life Insurance,23,Rent,Skilled,1
12,Existing credits paid back duly,Radio/Television,707,< 4 year,4,Male,Single,2,Real estate,30,Own,Skilled,1
24,Delay in paying off,Business,2978,< 4 year,4,Male,Single,4,Real estate,32,Own,Skilled,1
15,Existing credits paid back duly,Car,4657,< 4 year,3,Male,Single,2,Car or other property,30,Own,Skilled,1
36,No credits taken,Repairs,2613,< 4 year,4,Male,Single,2,Car or other property,27,Own,Skilled,1
48,Existing credits paid back duly,Radio/Television,10961,< 7 year,1,Male,Single,2,No property,27,Own,Skilled,0
12,Existing credits paid back duly,Furniture,7865,>= 7 year,4,Male,Single,4,No property,53,Free,Self-employed,0
9,Existing credits paid back duly,Radio/Television,1478,< 7 year,4,Male,Single,2,Car or other property,22,Own,Skilled,0
24,Existing credits paid back duly,Furniture,3149,< 1 year,4,Male,Single,1,No property,22,Free,Skilled,1
36,Existing credits paid back duly,Radio/Television,4210,< 4 year,4,Male,Single,2,Car or other property,26,Own,Skilled,0
9,Existing credits paid back duly,Car,2507,>= 7 year,2,Male,Single,4,No property,51,Free,Unskilled resident,1
12,Existing credits paid back duly,Radio/Television,2141,< 7 year,3,Male,Single,1,No property,35,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,866,< 4 year,4,Male,Married,2,Real estate,25,Own,Unskilled resident,1
4,No credits existing,Radio/Television,1544,< 7 year,2,Male,Single,1,Real estate,42,Own,Unskilled resident,1
24,Existing credits paid back duly,Radio/Television,1823,Unemployed,4,Male,Single,2,Car or other property,30,Own,Self-employed,0
6,Existing credits paid back duly,Car,14555,Unemployed,1,Male,Single,2,Life Insurance,23,Own,Unemployed,0
21,Existing credits paid back duly,Business,2767,>= 7 year,4,Male,Divorced,2,Car or other property,61,Rent,Unskilled resident,0
12,No credits existing,Radio/Television,1291,< 4 year,4,Female,Unknown,2,Life Insurance,35,Own,Skilled,1
30,Existing credits paid back duly,Radio/Television,2522,>= 7 year,1,Male,Single,3,Life Insurance,39,Own,Skilled,1
24,Existing credits paid back duly,Car,915,>= 7 year,4,Female,Unknown,2,Car or other property,29,Own,Skilled,0
6,Existing credits paid back duly,Radio/Television,1595,< 7 year,3,Male,Single,2,Life Insurance,51,Own,Skilled,1
48,No credits taken,Car,4605,>= 7 year,3,Male,Single,4,No property,24,Free,Skilled,0
12,No credits existing,Business,1185,< 4 year,3,Female,Unknown,2,Real estate,27,Own,Skilled,1
12,Credits paid back duly,Retraining,3447,< 4 year,4,Female,Unknown,3,Real estate,35,Own,Unskilled resident,1
24,Existing credits paid back duly,Business,1258,< 7 year,4,Male,Single,1,Real estate,25,Own,Skilled,1
12,No credits existing,Radio/Television,717,>= 7 year,4,Male,Single,4,Real estate,52,Own,Skilled,1
6,No credits taken,Car,1204,< 4 year,4,Male,Single,1,No property,35,Rent,Skilled,1
24,Existing credits paid back duly,Furniture,1925,< 4 year,2,Male,Single,2,Real estate,26,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,433,Unemployed,3,Female,Unknown,4,Real estate,22,Rent,Skilled,0
6,No credits existing,Car,666,< 7 year,3,Female,Unknown,4,Real estate,39,Own,Unskilled resident,1
12,Existing credits paid back duly,Furniture,2251,< 4 year,1,Female,Unknown,2,Car or other property,46,Own,Unskilled resident,1
30,Existing credits paid back duly,Car,2150,< 4 year,4,Female,Unknown,2,No property,24,Own,Skilled,0
24,Delay in paying off,Furniture,4151,< 4 year,2,Male,Single,3,Life Insurance,35,Own,Skilled,1
9,Existing credits paid back duly,Furniture,2030,< 7 year,2,Male,Single,1,Car or other property,24,Own,Skilled,1
60,Delay in paying off,Radio/Television,7418,< 4 year,1,Male,Single,1,Real estate,27,Own,Unskilled resident,1
24,No credits existing,Radio/Television,2684,< 4 year,4,Male,Single,2,Real estate,35,Own,Unskilled resident,1
